id,article,category,status,text,llm,tool,score,label
371,11,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
372,12,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
373,13,tech&engineering,native,generated,ChatGPT,DetectGPT,100.00%,ai
374,14,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
375,15,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
376,16,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
377,17,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
378,18,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
379,19,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
380,20,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
381,21,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
382,22,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
383,23,tech&engineering,non-native,generated,ChatGPT,DetectGPT,84.00%,ai
384,24,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
385,25,social,native,generated,ChatGPT,DetectGPT,0.00%,human
386,26,interdisciplinary,native,generated,ChatGPT,DetectGPT,100.00%,ai
387,27,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
388,28,tech&engineering,native,generated,ChatGPT,DetectGPT,100.00%,ai
389,29,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
390,30,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
391,31,social,native,generated,ChatGPT,DetectGPT,0.00%,human
392,32,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
393,33,social,native,generated,ChatGPT,DetectGPT,0.00%,human
394,34,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
395,35,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
396,36,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
397,37,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
398,38,social,native,generated,ChatGPT,DetectGPT,100.00%,ai
399,39,interdisciplinary,native,generated,ChatGPT,DetectGPT,100.00%,ai
400,40,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
401,41,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
402,42,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
403,43,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
404,44,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
405,45,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
406,46,interdisciplinary,native,generated,ChatGPT,DetectGPT,89.00%,ai
407,47,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
408,48,tech&engineering,native,generated,ChatGPT,DetectGPT,100.00%,ai
409,49,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
410,50,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
411,51,social,native,generated,ChatGPT,DetectGPT,0.00%,human
412,52,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
413,53,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
414,54,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
415,55,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
416,56,social,native,generated,ChatGPT,DetectGPT,0.00%,human
417,57,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
418,58,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
419,59,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
420,60,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
421,61,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
422,62,social,native,generated,ChatGPT,DetectGPT,0.00%,human
423,63,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
424,64,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
425,65,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
426,66,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
427,67,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
428,68,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
429,69,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
430,70,social,native,generated,ChatGPT,DetectGPT,100.00%,ai
431,71,social,native,generated,ChatGPT,DetectGPT,0.00%,human
432,72,social,native,generated,ChatGPT,DetectGPT,0.00%,human
433,1,social,non-native,generated,Gemini,GPTZero,100.00%,ai
434,2,social,native,generated,Gemini,GPTZero,100.00%,ai
435,3,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
436,4,interdisciplinary,non-native,generated,Gemini,GPTZero,83.00%,ai
437,5,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
438,6,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
439,7,social,native,generated,Gemini,GPTZero,100.00%,ai
440,8,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
441,9,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
442,10,social,non-native,generated,Gemini,GPTZero,100.00%,ai
443,11,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
444,12,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
445,13,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
446,14,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
447,15,social,non-native,generated,Gemini,GPTZero,100.00%,ai
448,16,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
449,17,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
450,18,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
451,19,social,non-native,generated,Gemini,GPTZero,100.00%,ai
452,20,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
453,21,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
454,22,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
455,23,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
456,24,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
457,25,social,native,generated,Gemini,GPTZero,100.00%,ai
458,26,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
459,27,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
460,28,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
461,29,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
462,30,social,non-native,generated,Gemini,GPTZero,100.00%,ai
463,31,social,native,generated,Gemini,GPTZero,100.00%,ai
464,32,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
465,33,social,native,generated,Gemini,GPTZero,100.00%,ai
466,34,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
467,35,social,non-native,generated,Gemini,GPTZero,100.00%,ai
468,36,interdisciplinary,non-native,generated,Gemini,GPTZero,58.00%,ai
469,37,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
470,38,social,native,generated,Gemini,GPTZero,100.00%,ai
471,39,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
472,40,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
473,41,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
474,42,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
475,43,interdisciplinary,native,generated,Gemini,GPTZero,88.00%,ai
476,44,social,non-native,generated,Gemini,GPTZero,100.00%,ai
477,45,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
478,46,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
479,47,social,non-native,generated,Gemini,GPTZero,100.00%,ai
480,48,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
481,49,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
482,50,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
483,51,social,native,generated,Gemini,GPTZero,100.00%,ai
484,52,social,non-native,generated,Gemini,GPTZero,100.00%,ai
485,53,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
486,54,social,non-native,generated,Gemini,GPTZero,100.00%,ai
487,55,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
488,56,social,native,generated,Gemini,GPTZero,100.00%,ai
489,57,tech&engineering,non-native,generated,Gemini,GPTZero,100.00%,ai
490,58,social,non-native,generated,Gemini,GPTZero,100.00%,ai
491,59,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
492,60,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
493,61,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
494,62,social,native,generated,Gemini,GPTZero,100.00%,ai
495,63,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
496,64,tech&engineering,native,generated,Gemini,GPTZero,100.00%,ai
497,65,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
498,66,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
499,67,interdisciplinary,native,generated,Gemini,GPTZero,100.00%,ai
500,68,social,non-native,generated,Gemini,GPTZero,100.00%,ai
501,69,interdisciplinary,non-native,generated,Gemini,GPTZero,100.00%,ai
502,70,social,native,generated,Gemini,GPTZero,100.00%,ai
503,71,social,native,generated,Gemini,GPTZero,100.00%,ai
504,72,social,native,generated,Gemini,GPTZero,100.00%,ai
505,1,social,non-native,generated,Gemini,ZeroGPT,0.00%,human
506,2,social,native,generated,Gemini,ZeroGPT,100.00%,ai
507,3,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
508,4,interdisciplinary,non-native,generated,Gemini,ZeroGPT,32.06%,ai
509,5,tech&engineering,non-native,generated,Gemini,ZeroGPT,0.00%,human
510,6,tech&engineering,non-native,generated,Gemini,ZeroGPT,100.00%,ai
511,7,social,native,generated,Gemini,ZeroGPT,100.00%,ai
512,8,interdisciplinary,native,generated,Gemini,ZeroGPT,85.00%,ai
513,9,tech&engineering,native,generated,Gemini,ZeroGPT,59.06%,ai
514,10,social,non-native,generated,Gemini,ZeroGPT,85.71%,ai
515,11,tech&engineering,native,generated,Gemini,ZeroGPT,100.00%,ai
516,12,tech&engineering,non-native,generated,Gemini,ZeroGPT,28.38%,ai
517,13,tech&engineering,native,generated,Gemini,ZeroGPT,35.66%,ai
518,14,tech&engineering,native,generated,Gemini,ZeroGPT,56.69%,ai
519,15,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
520,16,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
521,17,tech&engineering,native,generated,Gemini,ZeroGPT,81.82%,ai
522,18,interdisciplinary,non-native,generated,Gemini,ZeroGPT,82.43%,ai
523,19,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
524,20,tech&engineering,native,generated,Gemini,ZeroGPT,27.85%,ai
525,21,interdisciplinary,non-native,generated,Gemini,ZeroGPT,100.00%,ai
526,22,tech&engineering,non-native,generated,Gemini,ZeroGPT,80.59%,ai
527,23,tech&engineering,non-native,generated,Gemini,ZeroGPT,50.62%,ai
528,24,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
529,25,social,native,generated,Gemini,ZeroGPT,100.00%,ai
530,26,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
531,27,interdisciplinary,non-native,generated,Gemini,ZeroGPT,28.48%,ai
532,28,tech&engineering,native,generated,Gemini,ZeroGPT,58.06%,ai
533,29,interdisciplinary,native,generated,Gemini,ZeroGPT,91.72%,ai
534,30,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
535,31,social,native,generated,Gemini,ZeroGPT,100.00%,ai
536,32,tech&engineering,non-native,generated,Gemini,ZeroGPT,79.86%,ai
537,33,social,native,generated,Gemini,ZeroGPT,100.00%,ai
538,34,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
539,35,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
540,36,interdisciplinary,non-native,generated,Gemini,ZeroGPT,100.00%,ai
541,37,tech&engineering,non-native,generated,Gemini,ZeroGPT,87.33%,ai
542,38,social,native,generated,Gemini,ZeroGPT,100.00%,ai
543,39,interdisciplinary,native,generated,Gemini,ZeroGPT,73.42%,ai
544,40,tech&engineering,native,generated,Gemini,ZeroGPT,100.00%,ai
545,41,tech&engineering,non-native,generated,Gemini,ZeroGPT,63.01%,ai
546,42,interdisciplinary,non-native,generated,Gemini,ZeroGPT,80.37%,ai
547,43,interdisciplinary,native,generated,Gemini,ZeroGPT,42.28%,ai
548,44,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
549,45,tech&engineering,native,generated,Gemini,ZeroGPT,100.00%,ai
550,46,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
551,47,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
552,48,tech&engineering,native,generated,Gemini,ZeroGPT,100.00%,ai
553,49,interdisciplinary,non-native,generated,Gemini,ZeroGPT,23.21%,ai
554,50,tech&engineering,non-native,generated,Gemini,ZeroGPT,26.17%,ai
555,51,social,native,generated,Gemini,ZeroGPT,100.00%,ai
556,52,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
557,53,tech&engineering,non-native,generated,Gemini,ZeroGPT,100.00%,ai
558,54,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
559,55,tech&engineering,non-native,generated,Gemini,ZeroGPT,0.00%,human
560,56,social,native,generated,Gemini,ZeroGPT,100.00%,ai
561,57,tech&engineering,non-native,generated,Gemini,ZeroGPT,100.00%,ai
562,58,social,non-native,generated,Gemini,ZeroGPT,39.19%,ai
563,59,interdisciplinary,non-native,generated,Gemini,ZeroGPT,100.00%,ai
564,60,interdisciplinary,non-native,generated,Gemini,ZeroGPT,25.16%,ai
565,61,interdisciplinary,native,generated,Gemini,ZeroGPT,78.44%,ai
566,62,social,native,generated,Gemini,ZeroGPT,0.00%,human
567,63,tech&engineering,native,generated,Gemini,ZeroGPT,100.00%,ai
568,64,tech&engineering,native,generated,Gemini,ZeroGPT,100.00%,ai
569,65,interdisciplinary,non-native,generated,Gemini,ZeroGPT,100.00%,ai
570,66,interdisciplinary,non-native,generated,Gemini,ZeroGPT,64.53%,ai
571,67,interdisciplinary,native,generated,Gemini,ZeroGPT,100.00%,ai
572,68,social,non-native,generated,Gemini,ZeroGPT,100.00%,ai
573,69,interdisciplinary,non-native,generated,Gemini,ZeroGPT,100.00%,ai
574,70,social,native,generated,Gemini,ZeroGPT,100.00%,ai
575,71,social,native,generated,Gemini,ZeroGPT,100.00%,ai
576,72,social,native,generated,Gemini,ZeroGPT,100.00%,ai
577,1,social,non-native,generated,Gemini,DetectGPT,78.00%,ai
578,2,social,native,generated,Gemini,DetectGPT,100.00%,ai
579,3,interdisciplinary,native,generated,Gemini,DetectGPT,75.00%,ai
580,4,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
581,5,tech&engineering,non-native,generated,Gemini,DetectGPT,0.00%,human
582,6,tech&engineering,non-native,generated,Gemini,DetectGPT,0.00%,human
583,7,social,native,generated,Gemini,DetectGPT,73.00%,ai
584,8,interdisciplinary,native,generated,Gemini,DetectGPT,100.00%,ai
585,9,tech&engineering,native,generated,Gemini,DetectGPT,100.00%,ai
586,10,social,non-native,generated,Gemini,DetectGPT,0.00%,human
587,11,tech&engineering,native,generated,Gemini,DetectGPT,68.00%,ai
588,12,tech&engineering,non-native,generated,Gemini,DetectGPT,81.00%,ai
589,13,tech&engineering,native,generated,Gemini,DetectGPT,0.00%,human
590,14,tech&engineering,native,generated,Gemini,DetectGPT,100.00%,ai
591,15,social,non-native,generated,Gemini,DetectGPT,78.00%,ai
592,16,interdisciplinary,native,generated,Gemini,DetectGPT,100.00%,ai
593,17,tech&engineering,native,generated,Gemini,DetectGPT,100.00%,ai
594,18,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
595,19,social,non-native,generated,Gemini,DetectGPT,0.00%,human
596,20,tech&engineering,native,generated,Gemini,DetectGPT,0.00%,human
597,21,interdisciplinary,non-native,generated,Gemini,DetectGPT,78.00%,ai
598,22,tech&engineering,non-native,generated,Gemini,DetectGPT,69.00%,ai
599,23,tech&engineering,non-native,generated,Gemini,DetectGPT,100.00%,ai
600,24,interdisciplinary,native,generated,Gemini,DetectGPT,47.00%,mixed
601,25,social,native,generated,Gemini,DetectGPT,100.00%,ai
602,26,interdisciplinary,native,generated,Gemini,DetectGPT,75.00%,ai
603,27,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
604,28,tech&engineering,native,generated,Gemini,DetectGPT,100.00%,ai
605,29,interdisciplinary,native,generated,Gemini,DetectGPT,0.00%,human
606,30,social,non-native,generated,Gemini,DetectGPT,50.00%,mixed
607,31,social,native,generated,Gemini,DetectGPT,100.00%,ai
608,32,tech&engineering,non-native,generated,Gemini,DetectGPT,100.00%,ai
609,33,social,native,generated,Gemini,DetectGPT,100.00%,ai
610,34,interdisciplinary,native,generated,Gemini,DetectGPT,88.00%,ai
611,35,social,non-native,generated,Gemini,DetectGPT,73.00%,ai
612,36,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
613,37,tech&engineering,non-native,generated,Gemini,DetectGPT,83.00%,ai
614,38,social,native,generated,Gemini,DetectGPT,77.00%,ai
615,39,interdisciplinary,native,generated,Gemini,DetectGPT,92.00%,ai
616,40,tech&engineering,native,generated,Gemini,DetectGPT,85.00%,ai
617,41,tech&engineering,non-native,generated,Gemini,DetectGPT,78.00%,ai
618,42,interdisciplinary,non-native,generated,Gemini,DetectGPT,100.00%,ai
619,43,interdisciplinary,native,generated,Gemini,DetectGPT,0.00%,human
620,44,social,non-native,generated,Gemini,DetectGPT,78.00%,ai
621,45,tech&engineering,native,generated,Gemini,DetectGPT,86.00%,ai
622,46,interdisciplinary,native,generated,Gemini,DetectGPT,84.00%,ai
623,47,social,non-native,generated,Gemini,DetectGPT,0.00%,human
624,48,tech&engineering,native,generated,Gemini,DetectGPT,100.00%,ai
625,49,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
626,50,tech&engineering,non-native,generated,Gemini,DetectGPT,67.00%,ai
627,51,social,native,generated,Gemini,DetectGPT,76.00%,ai
628,52,social,non-native,generated,Gemini,DetectGPT,100.00%,ai
629,53,tech&engineering,non-native,generated,Gemini,DetectGPT,100.00%,ai
630,54,social,non-native,generated,Gemini,DetectGPT,0.00%,human
631,55,tech&engineering,non-native,generated,Gemini,DetectGPT,0.00%,human
632,56,social,native,generated,Gemini,DetectGPT,86.00%,ai
633,57,tech&engineering,non-native,generated,Gemini,DetectGPT,61.00%,ai
634,58,social,non-native,generated,Gemini,DetectGPT,16.00%,human
635,59,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
636,60,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
637,61,interdisciplinary,native,generated,Gemini,DetectGPT,0.00%,human
638,62,social,native,generated,Gemini,DetectGPT,0.00%,human
639,63,tech&engineering,native,generated,Gemini,DetectGPT,87.00%,ai
640,64,tech&engineering,native,generated,Gemini,DetectGPT,70.00%,ai
641,65,interdisciplinary,non-native,generated,Gemini,DetectGPT,100.00%,ai
642,66,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
643,67,interdisciplinary,native,generated,Gemini,DetectGPT,47.00%,mixed
644,68,social,non-native,generated,Gemini,DetectGPT,83.00%,ai
645,69,interdisciplinary,non-native,generated,Gemini,DetectGPT,0.00%,human
646,70,social,native,generated,Gemini,DetectGPT,71.00%,ai
647,71,social,native,generated,Gemini,DetectGPT,84.00%,ai
648,72,social,native,generated,Gemini,DetectGPT,0.00%,human
649,1,social,non-native,enhanced,ChatGPT,GPTZero,0.00%,human
650,2,social,native,enhanced,ChatGPT,GPTZero,29.00%,
651,3,interdisciplinary,native,enhanced,ChatGPT,GPTZero,2.00%,
652,4,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,1.00%,
653,5,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,100.00%,ai
654,6,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,1.00%,
655,7,social,native,enhanced,ChatGPT,GPTZero,7.00%,
656,8,interdisciplinary,native,enhanced,ChatGPT,GPTZero,1.00%,
657,9,tech&engineering,native,enhanced,ChatGPT,GPTZero,9.00%,
658,10,social,non-native,enhanced,ChatGPT,GPTZero,1.00%,
659,11,tech&engineering,native,enhanced,ChatGPT,GPTZero,75.00%,
660,12,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,100.00%,ai
661,13,tech&engineering,native,enhanced,ChatGPT,GPTZero,25.00%,
662,14,tech&engineering,native,enhanced,ChatGPT,GPTZero,10.00%,
663,15,social,non-native,enhanced,ChatGPT,GPTZero,76.00%,
664,16,interdisciplinary,native,enhanced,ChatGPT,GPTZero,8.00%,
665,17,tech&engineering,native,enhanced,ChatGPT,GPTZero,6.00%,
666,18,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,7.00%,
667,19,social,non-native,enhanced,ChatGPT,GPTZero,13.00%,
668,20,tech&engineering,native,enhanced,ChatGPT,GPTZero,2.00%,
669,21,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,2.00%,
670,22,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,10.00%,
671,23,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,9.00%,
672,24,interdisciplinary,native,enhanced,ChatGPT,GPTZero,1.00%,
673,25,social,native,enhanced,ChatGPT,GPTZero,1.00%,
674,26,interdisciplinary,native,enhanced,ChatGPT,GPTZero,0.00%,human
675,27,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,29.00%,
676,28,tech&engineering,native,enhanced,ChatGPT,GPTZero,2.00%,
677,29,interdisciplinary,native,enhanced,ChatGPT,GPTZero,1.00%,
678,30,social,non-native,enhanced,ChatGPT,GPTZero,2.00%,
679,31,social,native,enhanced,ChatGPT,GPTZero,3.00%,
680,32,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,47.00%,
681,33,social,native,enhanced,ChatGPT,GPTZero,13.00%,
682,34,interdisciplinary,native,enhanced,ChatGPT,GPTZero,2.00%,
683,35,social,non-native,enhanced,ChatGPT,GPTZero,9.00%,
684,36,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,3.00%,
685,37,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,10.00%,
686,38,social,native,enhanced,ChatGPT,GPTZero,48.00%,
687,39,interdisciplinary,native,enhanced,ChatGPT,GPTZero,3.00%,
688,40,tech&engineering,native,enhanced,ChatGPT,GPTZero,1.00%,
689,41,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,1.00%,
690,42,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,10.00%,
691,43,interdisciplinary,native,enhanced,ChatGPT,GPTZero,100.00%,ai
692,44,social,non-native,enhanced,ChatGPT,GPTZero,2.00%,
693,45,tech&engineering,native,enhanced,ChatGPT,GPTZero,28.00%,
694,46,interdisciplinary,native,enhanced,ChatGPT,GPTZero,2.00%,
695,47,social,non-native,enhanced,ChatGPT,GPTZero,1.00%,
696,48,tech&engineering,native,enhanced,ChatGPT,GPTZero,0.00%,human
697,49,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,4.00%,
698,50,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,1.00%,
699,51,social,native,enhanced,ChatGPT,GPTZero,4.00%,
700,52,social,non-native,enhanced,ChatGPT,GPTZero,16.00%,
701,53,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,2.00%,
702,54,social,non-native,enhanced,ChatGPT,GPTZero,1.00%,
703,55,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,100.00%,ai
704,56,social,native,enhanced,ChatGPT,GPTZero,48.00%,
705,57,tech&engineering,non-native,enhanced,ChatGPT,GPTZero,1.00%,
706,58,social,non-native,enhanced,ChatGPT,GPTZero,0.00%,human
707,59,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,47.00%,
708,60,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,3.00%,
709,61,interdisciplinary,native,enhanced,ChatGPT,GPTZero,9.00%,
710,62,social,native,enhanced,ChatGPT,GPTZero,100.00%,ai
711,63,tech&engineering,native,enhanced,ChatGPT,GPTZero,29.00%,
712,64,tech&engineering,native,enhanced,ChatGPT,GPTZero,76.00%,
713,65,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,100.00%,ai
714,66,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,6.00%,
715,67,interdisciplinary,native,enhanced,ChatGPT,GPTZero,3.00%,
716,68,social,non-native,enhanced,ChatGPT,GPTZero,1.00%,
717,69,interdisciplinary,non-native,enhanced,ChatGPT,GPTZero,9.00%,
718,70,social,native,enhanced,ChatGPT,GPTZero,1.00%,
719,71,social,native,enhanced,ChatGPT,GPTZero,49.00%,
720,72,social,native,enhanced,ChatGPT,GPTZero,2.00%,
721,1,social,non-native,enhanced,ChatGPT,ZeroGPT,0.00%,human
722,2,social,native,enhanced,ChatGPT,ZeroGPT,0.00%,human
723,3,interdisciplinary,native,enhanced,ChatGPT,ZeroGPT,13.85%,
